HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:14:4:526, 0:14:4:537, 7.00,6.83,6.22,5.38,24.14,5.10
0:14:4:538, 0:14:4:549, 7.00,6.85,6.21,5.38,24.13,5.09
0:14:4:550, 0:14:4:562, 7.00,6.85,6.23,5.38,24.12,5.09
0:14:4:563, 0:14:4:591, 14.00,14.98,12.67,10.81,49.79,11.11
0:14:4:592, 0:14:4:620, 17.00,19.28,18.43,16.08,70.74,14.19
0:14:4:621, 0:14:4:632, 7.00,6.84,6.21,5.38,24.14,5.09
0:14:4:633, 0:14:4:643, 7.00,6.79,6.21,5.38,24.14,5.10
0:14:4:644, 0:14:4:670, 13.00,13.70,12.44,10.76,48.26,10.17
0:14:4:675, 0:14:4:676, 2.00,1.15,0.23,0.05,1.40,0.91
0:14:4:677, 0:14:4:684, 5.00,5.82,6.00,5.32,22.48,3.99
0:14:4:685, 0:14:4:713, 14.00,14.92,12.68,10.81,49.79,11.10
0:14:4:714, 0:14:4:745, 17.00,19.49,18.45,16.08,70.84,14.21
0:14:4:746, 0:14:4:759, 7.00,6.89,6.21,5.38,24.12,5.10
0:14:4:760, 0:14:4:773, 7.00,6.83,6.23,5.38,24.11,5.08
0:14:4:775, 0:14:4:778, 2.00,1.05,0.21,0.05,1.40,0.92
0:14:4:779, 0:14:4:787, 5.00,5.90,6.01,5.32,22.50,4.01
0:14:4:788, 0:14:4:799, 7.00,6.83,6.23,5.38,24.12,5.09
0:14:4:800, 0:14:4:813, 7.00,6.88,6.23,5.38,24.15,5.10
0:14:4:814, 0:14:4:826, 7.00,6.80,6.23,5.38,24.11,5.09
0:14:4:827, 0:14:4:850, 13.00,13.78,12.49,10.76,48.51,10.28
0:14:4:851, 0:14:4:864, 7.00,6.91,6.22,5.38,24.13,5.09
0:14:4:865, 0:14:4:878, 7.00,6.98,6.23,5.38,24.13,5.09
0:14:4:879, 0:14:4:890, 7.00,6.90,6.24,5.38,24.13,5.10
0:14:4:891, 0:14:4:904, 7.00,6.89,6.22,5.38,24.12,5.09
0:14:4:905, 0:14:4:909, 2.00,0.95,0.18,0.05,1.38,0.91
