HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:20:42:508, 0:20:42:517, 10.00,13.26,11.74,9.24,25.55,20.40
0:20:42:549, 0:20:42:558, 10.00,13.25,11.73,9.23,25.50,20.46
0:20:42:586, 0:20:42:595, 10.00,13.25,11.55,9.19,24.47,19.31
0:20:42:624, 0:20:42:633, 10.00,13.26,11.60,9.23,25.20,20.16
0:20:42:661, 0:20:42:670, 10.00,13.26,11.84,9.24,25.41,20.35
0:20:42:699, 0:20:42:708, 10.00,13.26,11.71,9.24,25.56,20.31
0:20:42:740, 0:20:42:749, 10.00,13.26,11.85,9.28,25.46,20.39
0:20:42:790, 0:20:42:799, 10.00,13.27,11.65,9.27,24.90,20.11
0:20:42:843, 0:20:42:852, 10.00,13.26,11.81,9.26,25.41,20.45
0:20:42:882, 0:20:42:891, 10.00,13.25,11.85,9.24,25.49,20.34
0:20:42:919, 0:20:42:928, 10.00,13.26,11.64,9.24,25.01,20.01
0:20:42:956, 0:20:42:965, 10.00,13.26,11.71,9.24,25.32,20.22
0:20:42:990, 0:20:42:999, 10.00,13.25,11.85,9.31,25.47,20.60
0:20:43:28, 0:20:43:37, 10.00,13.26,11.71,9.23,25.48,20.31
0:20:43:66, 0:20:43:75, 10.00,13.25,11.78,9.24,25.78,20.56
0:20:43:102, 0:20:43:111, 10.00,13.27,11.56,9.24,24.44,19.58
0:20:43:146, 0:20:43:155, 10.00,13.26,11.73,9.23,25.47,20.37
0:20:43:206, 0:20:43:215, 10.00,13.26,11.81,9.22,25.60,20.43
0:20:43:243, 0:20:43:252, 10.00,13.26,11.68,9.18,24.57,19.47
0:20:43:283, 0:20:43:292, 10.00,13.25,11.73,9.24,25.50,20.34
0:20:43:317, 0:20:43:326, 10.00,13.26,11.76,9.31,25.45,20.43
0:20:43:357, 0:20:43:366, 10.00,13.26,11.57,9.23,24.80,19.78
0:20:43:388, 0:20:43:397, 10.00,13.26,11.85,9.31,25.54,20.61
0:20:43:577, 0:20:43:586, 10.00,13.26,11.71,9.24,25.63,20.49
0:20:43:618, 0:20:43:627, 10.00,13.25,11.78,9.21,25.61,20.32
0:20:43:654, 0:20:43:663, 10.00,13.26,11.76,9.26,24.60,19.75
0:20:43:688, 0:20:43:696, 10.00,13.26,11.78,9.25,25.20,20.28
0:20:43:722, 0:20:43:731, 10.00,13.25,11.87,9.21,25.44,20.22
0:20:43:759, 0:20:43:769, 11.00,14.59,12.01,9.33,25.53,20.62
0:20:43:887, 0:20:43:896, 10.00,13.25,11.77,9.25,25.84,20.65
0:20:43:926, 0:20:43:935, 10.00,13.26,11.65,9.26,25.10,20.02
0:20:43:965, 0:20:43:974, 10.00,13.25,11.74,9.22,25.68,20.43
0:20:44:0, 0:20:44:9, 10.00,13.26,11.71,9.26,24.89,20.01
0:20:44:47, 0:20:44:56, 10.00,13.26,11.65,9.28,24.79,19.93
0:20:44:84, 0:20:44:93, 10.00,13.25,11.72,9.16,25.40,20.05
0:20:44:124, 0:20:44:133, 10.00,13.26,11.87,9.34,25.24,20.46
0:20:44:163, 0:20:44:172, 10.00,13.25,11.76,9.24,25.44,20.20
0:20:44:201, 0:20:44:210, 10.00,13.26,11.67,9.24,25.05,20.13
0:20:44:236, 0:20:44:244, 9.00,11.93,11.38,9.24,24.26,19.41
0:20:44:264, 0:20:44:273, 10.00,13.26,11.71,9.21,25.93,20.65
0:20:44:302, 0:20:44:311, 10.00,13.25,11.79,9.25,25.90,20.72
0:20:44:335, 0:20:44:343, 9.00,11.93,11.38,9.24,24.25,19.41
0:20:44:369, 0:20:44:377, 9.00,11.93,11.37,9.25,24.30,19.51
0:20:44:403, 0:20:44:412, 10.00,13.25,11.73,9.23,25.71,20.51
0:20:44:438, 0:20:44:447, 10.00,13.25,11.76,9.23,25.62,20.52
0:20:44:473, 0:20:44:482, 10.00,13.26,11.75,9.24,25.59,20.52
0:20:44:512, 0:20:44:521, 10.00,13.26,11.76,9.30,25.55,20.44
0:20:44:548, 0:20:44:557, 10.00,13.26,11.74,9.30,25.59,20.61
0:20:44:584, 0:20:44:593, 10.00,13.25,11.74,9.24,25.65,20.51
0:20:44:615, 0:20:44:624, 10.00,13.25,11.76,9.25,26.05,20.82
0:20:44:651, 0:20:44:660, 10.00,13.26,11.70,9.24,25.64,20.46
0:20:44:690, 0:20:44:699, 10.00,13.26,11.72,9.23,25.71,20.50
0:20:44:724, 0:20:44:733, 10.00,13.26,11.77,9.24,25.72,20.63
0:20:44:752, 0:20:44:761, 10.00,13.26,11.69,9.23,25.66,20.42
0:20:44:786, 0:20:44:795, 10.00,13.25,11.78,9.23,25.42,20.38
0:20:44:818, 0:20:44:827, 10.00,13.26,11.70,9.24,25.63,20.56
0:20:44:855, 0:20:44:864, 10.00,13.25,11.74,9.16,25.46,19.99
0:20:44:889, 0:20:44:898, 10.00,13.26,11.77,9.23,25.64,20.48
0:20:44:925, 0:20:44:934, 10.00,13.26,11.73,9.24,25.76,20.55
0:20:44:955, 0:20:44:963, 9.00,11.94,11.36,9.23,24.38,19.47
0:20:44:988, 0:20:44:997, 10.00,13.26,11.70,9.23,25.35,20.18
0:20:45:22, 0:20:45:31, 10.00,13.26,11.72,9.24,25.67,20.53
0:20:45:59, 0:20:45:68, 10.00,13.26,11.70,9.21,25.32,20.18
0:20:45:94, 0:20:45:103, 10.00,13.26,11.78,9.26,25.79,20.76
0:20:45:127, 0:20:45:136, 10.00,13.26,11.77,9.25,25.89,20.69
0:20:45:163, 0:20:45:172, 10.00,13.26,11.78,9.24,25.67,20.62
0:20:45:197, 0:20:45:206, 10.00,13.26,11.74,9.24,25.73,20.60
0:20:45:233, 0:20:45:242, 10.00,13.25,11.73,9.23,25.80,20.65
0:20:45:268, 0:20:45:277, 10.00,13.25,11.72,9.23,25.67,20.52
0:20:45:303, 0:20:45:312, 10.00,13.26,11.70,9.22,25.60,20.37
0:20:45:337, 0:20:45:345, 9.00,11.93,11.40,9.24,24.39,19.51
