HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:20:51:413, 0:20:51:422, 10.00,13.26,11.70,9.23,25.50,20.18
0:20:51:450, 0:20:51:459, 10.00,13.25,11.76,9.26,25.51,20.53
0:20:51:488, 0:20:51:497, 10.00,13.25,11.82,9.23,25.57,20.41
0:20:51:535, 0:20:51:544, 10.00,13.26,11.74,9.24,25.76,20.55
0:20:51:565, 0:20:51:574, 10.00,13.26,11.73,9.24,25.79,20.54
0:20:51:594, 0:20:51:603, 10.00,13.25,11.74,9.25,25.78,20.59
0:20:51:630, 0:20:51:639, 10.00,13.26,11.75,9.23,25.89,20.73
0:20:51:665, 0:20:51:674, 10.00,13.25,11.76,9.23,25.61,20.53
0:20:51:700, 0:20:51:709, 10.00,13.26,11.77,9.28,25.75,20.76
0:20:51:738, 0:20:51:747, 10.00,13.26,11.75,9.23,25.69,20.62
0:20:51:774, 0:20:51:783, 10.00,13.26,11.71,9.22,25.91,20.51
0:20:51:810, 0:20:51:819, 10.00,13.26,11.77,9.24,25.85,20.58
0:20:51:846, 0:20:51:855, 10.00,13.26,11.72,9.23,25.64,20.52
0:20:51:880, 0:20:51:888, 9.00,11.93,11.44,9.26,24.53,19.64
0:20:51:917, 0:20:51:926, 10.00,13.25,11.72,9.24,25.68,20.52
0:20:51:958, 0:20:51:967, 10.00,13.25,11.84,9.20,25.56,20.24
0:20:51:995, 0:20:52:4, 10.00,13.26,11.72,9.24,25.65,20.52
0:20:52:30, 0:20:52:39, 10.00,13.26,11.78,9.25,25.74,20.58
0:20:52:67, 0:20:52:76, 10.00,13.26,11.69,9.22,25.76,20.51
0:20:52:101, 0:20:52:110, 10.00,13.25,11.77,9.24,25.73,20.61
0:20:52:138, 0:20:52:147, 10.00,13.26,11.74,9.22,25.81,20.46
0:20:52:175, 0:20:52:184, 10.00,13.26,11.73,9.23,25.70,20.41
0:20:52:210, 0:20:52:219, 10.00,13.26,11.73,9.23,25.68,20.59
0:20:52:240, 0:20:52:249, 10.00,13.26,11.75,9.24,25.73,20.52
0:20:52:277, 0:20:52:285, 9.00,11.93,11.39,9.24,24.48,19.50
0:20:52:316, 0:20:52:325, 10.00,13.27,11.73,9.23,25.76,20.58
0:20:52:351, 0:20:52:360, 10.00,13.25,11.71,9.23,25.59,20.39
0:20:52:386, 0:20:52:395, 10.00,13.26,11.70,9.23,25.49,20.29
0:20:52:423, 0:20:52:432, 10.00,13.25,11.70,9.23,25.56,20.40
0:20:52:459, 0:20:52:468, 10.00,13.26,11.74,9.23,25.75,20.56
0:20:52:488, 0:20:52:497, 10.00,13.25,11.75,9.18,25.31,20.03
0:20:52:523, 0:20:52:532, 10.00,13.26,11.81,9.24,25.80,20.59
0:20:52:558, 0:20:52:567, 10.00,13.24,11.73,9.19,25.43,20.10
0:20:52:595, 0:20:52:604, 10.00,13.26,11.76,9.23,25.68,20.55
0:20:52:633, 0:20:52:642, 10.00,13.26,11.76,9.24,25.72,20.46
0:20:52:671, 0:20:52:680, 10.00,13.25,11.72,9.23,25.67,20.50
0:20:52:702, 0:20:52:711, 10.00,13.25,11.73,9.23,25.72,20.54
0:20:52:743, 0:20:52:752, 10.00,13.26,11.70,9.25,25.69,20.51
0:20:52:779, 0:20:52:788, 10.00,13.27,11.75,9.23,25.80,20.61
0:20:52:819, 0:20:52:828, 10.00,13.26,11.70,9.28,25.33,20.35
0:20:52:849, 0:20:52:858, 10.00,13.26,11.71,9.22,25.56,20.43
0:20:52:883, 0:20:52:892, 10.00,13.26,11.74,9.24,25.75,20.40
0:20:52:919, 0:20:52:928, 10.00,13.25,11.70,9.23,25.37,20.26
0:20:52:958, 0:20:52:967, 10.00,13.25,11.69,9.23,25.53,20.26
0:20:52:994, 0:20:53:3, 10.00,13.26,11.82,9.24,25.64,20.57
0:20:53:29, 0:20:53:38, 10.00,13.26,11.73,9.23,25.76,20.53
0:20:53:63, 0:20:53:72, 10.00,13.26,11.77,9.24,25.81,20.56
0:20:53:99, 0:20:53:108, 10.00,13.26,11.75,9.23,25.82,20.65
0:20:53:134, 0:20:53:143, 10.00,13.26,11.79,9.24,25.64,20.47
0:20:53:168, 0:20:53:177, 10.00,13.26,11.75,9.24,25.69,20.55
0:20:53:204, 0:20:53:213, 10.00,13.26,11.76,9.24,25.68,20.51
0:20:53:240, 0:20:53:249, 10.00,13.26,11.76,9.24,25.94,20.64
0:20:53:279, 0:20:53:288, 10.00,13.26,11.71,9.23,25.69,20.47
0:20:53:315, 0:20:53:324, 10.00,13.25,11.70,9.22,25.69,20.48
0:20:53:350, 0:20:53:359, 10.00,13.26,11.69,9.23,25.54,20.27
0:20:53:389, 0:20:53:398, 10.00,13.27,11.81,9.23,25.46,20.31
0:20:53:428, 0:20:53:436, 9.00,11.95,11.38,9.25,24.12,19.31
0:20:53:465, 0:20:53:474, 10.00,13.26,11.89,9.36,25.99,21.02
0:20:53:505, 0:20:53:513, 10.00,13.26,11.75,9.25,25.66,20.55
0:20:53:541, 0:20:53:550, 10.00,13.26,11.76,9.24,25.51,20.42
0:20:53:579, 0:20:53:588, 0.00,0.00,0.00,0.00,0.00,0.00
